cases,tests,active,deaths,country,updated,continent,recovered,population,oneCasePerPeople,oneTestPerPeople,oneDeathPerPeople,casesPerOneMillion,testsPerOneMillion
234174,1390730,15098,7996,Afghanistan,1753456487545,Asia,211080,40754388,174,29,5097,5746,34125
334863,1941032,1025,3605,Albania,1753456487538,Europe,330233,2866374,9,1,795,116825,677173
272010,230960,82068,6881,Algeria,1753456487541,Africa,183061,45350148,167,196,6591,5998,5093
48015,249838,47850,165,Andorra,1753456487591,Europe,0,77463,2,0,469,619844,3225256
107327,1499795,1971,1937,Angola,1753456487564,Africa,103419,35027343,326,23,18083,3064,42818
3904,51382,3892,12,Anguilla,1753456487657,North America,0,15230,4,0,1269,256336,3373736
9106,18901,6,146,Antigua and Barbuda,1753456487643,North America,8954,99509,11,5,682,91509,189943
10128845,35716069,746,130841,Argentina,1753456487433,South America,9997258,46010234,5,1,352,220143,776264
451831,3242901,7892,8777,Armenia,1753456487531,Asia,435162,2971966,7,1,339,152031,1091164
44224,177885,1494,292,Aruba,1753456487594,North America,42438,107609,2,1,369,410969,1653068
11853144,81916639,8716,24414,Australia,1753456487429,Australia-Oceania,11820014,26068792,2,0,1068,454687,3142326
6081287,211273524,3811,22542,Austria,1753456487443,Europe,6054934,9066710,1,0,402,670727,23302116
835234,7748050,745,10400,Azerbaijan,1753456487511,Asia,824089,10300205,12,1,990,81089,752223
38084,257839,874,844,Bahamas,1753456487600,North America,36366,400516,11,2,475,95087,643767
729549,10948549,60,1574,Bahrain,1753456487512,Asia,727915,1783983,2,0,1133,408944,6137138
2049377,15254399,2019884,29493,Bangladesh,1753456487474,Asia,0,167885689,82,11,5692,12207,90862
110578,814159,1283,648,Barbados,1753456487563,North America,108647,288023,3,0,444,383921,2826715
994037,13646641,1327,7118,Belarus,1753456487504,Europe,985592,9432800,9,1,1325,105381,1446722
4861695,37454182,521,34376,Belgium,1753456487452,Europe,4826798,11668278,2,0,339,416659,3209915
71409,576016,70721,688,Belize,1753456487578,North America,0,412190,6,1,599,173243,1397453
28036,604310,26,163,Benin,1753456487607,Africa,27847,12784726,456,21,78434,2193,47268
18860,1029558,10,165,Bermuda,1753456487619,North America,18685,61939,3,0,375,304493,16622128
62697,2303734,1112,21,Bhutan,1753456487584,Asia,61564,787941,13,0,37521,79571,2923739
1212131,2710261,12579,22407,Bolivia,1753456487493,South America,1177145,11992656,10,4,535,101073,225993
403615,1884721,8143,16388,Bosnia,1753456487532,Europe,379084,3249317,8,2,198,124215,580036
330638,2026898,788,2801,Botswana,1753456487539,Africa,327049,2441162,7,1,872,135443,830300
38743918,63776166,1783377,711380,Brazil,1753456487420,South America,36249161,215353593,6,3,303,179908,296146
7392,107339,7328,64,British Virgin Islands,1753456487646,North America,0,30596,4,0,478,241600,3508269
343719,717784,99893,225,Brunei,1753456487537,Asia,243601,445431,1,1,1980,771655,1611437
1339851,11671043,8159,38748,Bulgaria,1753456487486,Europe,1292944,6844597,5,1,177,195753,1705147
22114,248995,118,400,Burkina Faso,1753456487615,Africa,21596,22102838,999,89,55257,1001,11265
54721,345742,1114,38,Burundi,1753456487586,Africa,53569,12624840,231,37,332233,4334,27386
64477,401622,305,417,Cabo Verde,1753456487581,Africa,63755,567678,9,1,1361,113580,707482
139103,3091420,3,3056,Cambodia,1753456487559,Asia,136044,17168639,123,6,5618,8102,180062
125379,1751774,125,1974,Cameroon,1753456487561,Africa,123280,27911548,223,16,14140,4492,62762
4946090,66572774,5744,59034,Canada,1753456487451,North America,4881312,38388419,8,1,650,128843,1734189
11682,30126,1168,38,Caribbean Netherlands,1753456487637,North America,10476,26647,2,1,701,438398,1130559
31472,222773,22882,37,Cayman Islands,1753456487606,North America,8553,67277,2,0,1818,467797,3311280
15440,81294,127,113,Central African Republic,1753456487631,Africa,15200,5016678,325,62,44395,3078,16205
7701,191341,2633,194,Chad,1753456487646,Africa,4874,17413580,2261,91,89761,442,10988
101717,1252808,168,228,Channel Islands,1753456487565,Europe,101321,176463,2,0,774,576421,7099551
5384853,50382097,67906,64497,Chile,1753456487446,South America,5252450,19250195,4,0,298,279730,2617225
503302,160000000,118977,5272,China,1753456487671,Asia,379053,1448471400,2878,9,274748,347,110461
6400173,36951507,44821,143200,Colombia,1753456487441,South America,6212152,51512762,8,1,360,124244,717327
9109,0,9,161,Comoros,1753456487642,Africa,8939,907419,100,0,5636,10038,0
25375,347815,983,386,Congo,1753456487614,Africa,24006,5797805,228,17,15020,4377,59991
7203,19690,51,2,Cook Islands,1753456487649,Australia-Oceania,7150,17571,2,1,8786,409937,1120596
1238883,4659757,1229455,9428,Costa Rica,1753456487492,North America,0,5182354,4,1,550,239058,899158
1309728,5660084,32609,18687,Croatia,1753456487487,Europe,1258432,4059286,3,1,217,322650,1394355
1115251,14402674,61,8530,Cuba,1753456487496,North America,1106660,11305652,10,1,1325,98645,1273936
45986,496693,971,295,Curaçao,1753456487593,North America,44720,165529,4,0,561,277812,3000640
681110,9640118,0,1365,Cyprus,1753456487513,Asia,679745,1223387,2,0,896,556741,7879860
4759041,57834241,318,43517,Czechia,1753456487456,Europe,4715206,10736784,2,0,247,443246,5386552
88384,1690934,52,835,Côte d'Ivoire,1753456487571,Africa,87497,27742298,314,16,33224,3186,60951
99338,846704,13381,1468,DRC,1753456487567,Africa,84489,95240792,959,112,64878,1043,8890
3183756,129333107,0,8814,Denmark,1753456487465,Europe,3174942,5834950,2,0,662,545636,22165247
712,0,0,13,Diamond Princess,1753456487665,,699,0,0,0,0,0,0
15690,305941,74,189,Djibouti,1753456487630,Africa,15427,1016097,65,3,5376,15441,301094
16038,229344,0,74,Dominica,1753456487629,North America,15964,72344,5,0,978,221691,3170187
675890,3740928,190,4384,Dominican Republic,1753456487514,North America,671316,11056370,16,3,2522,61131,338350
1070188,3082403,0,36043,Ecuador,1753456487497,South America,1034145,18113361,17,6,503,59083,170173
516023,3693367,49228,24613,Egypt,1753456487524,Africa,442182,106156692,206,29,4313,4861,34792
201855,2610114,18215,4230,El Salvador,1753456487551,North America,179410,6550389,32,3,1549,30816,398467
17229,365697,139,183,Equatorial Guinea,1753456487623,Africa,16907,1496662,87,4,8178,11512,244342
10189,23693,0,103,Eritrea,1753456487638,Africa,10086,3662244,359,155,35556,2782,6470
628070,6968103,625069,3001,Estonia,1753456487520,Europe,0,1321910,2,0,440,475123,5271239
501157,5565340,5412,7574,Ethiopia,1753456487528,Africa,488171,120812698,241,22,15951,4148,46066
1930,8632,0,0,Falkland Islands (Malvinas),1753456487662,South America,1930,3539,2,0,0,545352,2439107
34658,778000,34630,28,Faroe Islands,1753456487604,Europe,0,49233,1,0,1758,703959,15802409
69117,672883,1006,885,Fiji,1753456487579,Australia-Oceania,67226,909466,13,1,1028,75997,739866
1516117,12108977,170,11958,Finland,1753456487481,Europe,1503989,5554960,4,0,465,272930,2179850
40138560,271490188,0,167642,France,1753456487417,Europe,39970918,65584518,2,0,391,612013,4139547
98041,651257,86367,420,French Guiana,1753456487568,South America,11254,314169,3,0,748,312065,2072951
79254,0,78604,650,French Polynesia,1753456487574,Australia-Oceania,0,284164,4,0,437,278902,0
49051,1621909,70,307,Gabon,1753456487590,Africa,48674,2331533,48,1,7595,21038,695641
12626,155686,65,372,Gambia,1753456487632,Africa,12189,2558482,203,16,6878,4935,60851
1861665,16920079,1844533,17132,Georgia,1753456487477,Asia,0,3968738,2,0,232,469082,4263340
38828995,122332384,405368,183027,Germany,1753456487418,Europe,38240600,83883596,2,1,458,462891,1458359
171889,2541625,2,1462,Ghana,1753456487557,Africa,170425,32395450,188,13,22158,5306,78456
20550,534283,20437,113,Gibraltar,1753456487617,Europe,0,33704,2,0,298,609720,15852213
6101379,102228365,6063510,37869,Greece,1753456487442,Europe,0,10316637,2,0,272,591412,9909078
11971,164926,9189,21,Greenland,1753456487635,North America,2761,56973,5,0,2713,210117,2894810
19693,182981,97,238,Grenada,1753456487618,North America,19358,113475,6,1,477,173545,1612523
203235,938039,202214,1021,Guadeloupe,1753456487550,North America,0,399794,2,0,392,508349,2346306
1291293,7593848,1113,20289,Guatemala,1753456487488,North America,1269891,18584039,14,2,916,69484,408622
38572,660107,347,468,Guinea,1753456487599,Africa,37757,13865691,359,21,29628,2782,47607
9614,145231,508,177,Guinea-Bissau,1753456487641,Africa,8929,2063367,215,14,11657,4659,70385
74137,733218,824,1300,Guyana,1753456487577,South America,72013,794045,11,1,611,93366,923396
34667,132422,73,860,Haiti,1753456487603,North America,33734,11680283,337,88,13582,2968,11337
29,0,0,0,Holy See (Vatican City State),1753456487668,Europe,29,799,28,0,0,36295,0
474590,1660662,463425,11165,Honduras,1753456487530,North America,0,10221247,22,6,915,46432,162472
2937609,76127725,6680,14924,Hong Kong,1753456487467,Asia,2916005,7604299,3,0,510,386309,10011143
2230232,11394556,29029,49048,Hungary,1753456487473,Europe,2152155,9606259,4,1,196,232164,1186160
209906,1996384,209677,229,Iceland,1753456487548,Europe,0,345393,2,0,1508,607731,5780036
45035393,935879495,44501823,533570,India,1753456487415,Asia,0,1406631776,31,2,2636,32016,665334
6829221,114158919,20054,162063,Indonesia,1753456487438,Asia,6647104,279134505,41,2,1722,24466,408975
7627186,57320267,7480375,146811,Iran,1753456487437,Asia,0,86022837,11,2,586,88665,666338
2465545,19544451,673,25375,Iraq,1753456487472,Asia,2439497,42164965,17,2,1662,58474,463523
1734582,13083449,170,9491,Ireland,1753456487479,Europe,1724921,5020199,3,0,529,345521,2606161
38008,150753,37892,116,Isle of Man,1753456487601,Europe,0,85732,2,1,739,443335,1758422
4841772,41373364,30592,12707,Israel,1753456487453,Asia,4798473,9326000,2,0,734,519169,4436346
26723249,281126449,165544,196487,Italy,1753456487423,Europe,26361218,60262770,2,0,307,443445,4665010
156869,1183986,153113,3756,Jamaica,1753456487558,North America,0,2985094,19,3,795,52551,396633
33803572,100414883,33728878,74694,Japan,1753456487422,Asia,0,125584838,4,1,1681,269169,799578
1746997,17201885,1868,14122,Jordan,1753456487478,Asia,1731007,10300869,6,1,729,169597,1669945
1411831,11575012,14963,13848,Kazakhstan,1753456487483,Asia,1383020,19205043,14,2,1387,73514,602707
344130,3967062,1132,5689,Kenya,1753456487537,Africa,337309,56215221,163,14,9881,6122,70569
5085,0,2358,24,Kiribati,1753456487656,Australia-Oceania,2703,123419,24,0,5142,41201,0
667158,8455743,664588,2570,Kuwait,1753456487517,Asia,0,4380326,7,1,1704,152308,1930391
206897,1907195,7500,2991,Kyrgyzstan,1753456487549,Asia,196406,6728271,33,4,2250,30750,283460
218970,1233207,218212,758,Lao People's Democratic Republic,1753456487548,Asia,0,7481023,34,6,9869,29270,164845
982505,7885792,4384,6715,Latvia,1753456487506,Europe,971406,1848837,2,0,275,531418,4265272
1243838,4795578,145299,10952,Lebanon,1753456487491,Asia,1087587,6684849,5,1,610,186068,717380
36138,431221,9435,723,Lesotho,1753456487602,Africa,25980,2175699,60,5,3009,16610,198199
8090,139824,12,295,Liberia,1753456487644,Africa,7783,5305117,656,38,17983,1525,26356
507274,2483848,2,6437,Libyan Arab Jamahiriya,1753456487527,Africa,500835,7040745,14,3,1094,72048,352782
21574,112457,21480,94,Liechtenstein,1753456487617,Europe,0,38387,2,0,408,562013,2929559
1397806,10540357,431,9897,Lithuania,1753456487484,Europe,1387478,2661708,2,0,269,525154,3959997
391232,4587145,390000,1232,Luxembourg,1753456487533,Europe,0,642371,2,0,521,609044,7140959
9,0,0,2,MS Zaandam,1753456487670,,7,0,0,0,0,0,0
27673,7850,24063,123,Macao,1753456487608,Asia,3487,667490,24,85,5427,41458,11760
350567,2226216,3523,9976,Macedonia,1753456487534,Europe,337068,2081304,6,1,209,168436,1069626
68486,531329,198,1426,Madagascar,1753456487580,Africa,66862,29178077,426,55,20461,2347,18210
89535,624784,86849,2686,Malawi,1753456487569,Africa,0,20180839,225,32,7513,4437,30959
5278406,68580916,7790,37348,Malaysia,1753456487447,Asia,5233268,33181072,6,0,888,159079,2066869
186694,2213831,22691,316,Maldives,1753456487553,Asia,163687,540985,3,0,1712,345100,4092223
33164,804909,89,743,Mali,1753456487605,Africa,32332,21473764,648,27,28901,1544,37483
121420,2170600,386,885,Malta,1753456487562,Europe,120149,444033,4,0,502,273448,4888375
16138,0,0,17,Marshall Islands,1753456487628,Australia-Oceania,16121,60057,4,0,3533,268711,0
230354,828928,229252,1102,Martinique,1753456487547,North America,0,374087,2,0,339,615777,2215870
63848,1009957,380,997,Mauritania,1753456487583,Africa,62471,4901981,77,5,4917,13025,206030
43025,358675,696,1051,Mauritius,1753456487596,Africa,41278,1274727,30,4,1213,33752,281374
42027,176919,41839,188,Mayotte,1753456487597,Africa,0,286259,7,2,1523,146815,618038
7702809,20013810,467986,334958,Mexico,1753456487436,North America,6899865,131562772,17,7,393,58549,152124
26547,82430,26482,65,Micronesia,1753456487610,Australia-Oceania,0,117489,4,1,1808,225953,701598
635145,3216305,622927,12218,Moldova,1753456487519,Europe,0,4013171,6,1,328,158265,801437
17181,78646,17114,67,Monaco,1753456487624,Europe,0,39783,2,1,594,431868,1976875
1011496,4030048,0,2284,Mongolia,1753456487502,Asia,1009212,3378078,3,1,1479,299429,1193000
296542,2769281,1902,2846,Montenegro,1753456487540,Europe,291794,627950,2,0,221,472238,4410034
1403,17762,19,8,Montserrat,1753456487663,North America,1376,4965,4,0,621,282578,3577442
1278992,13001033,1262689,16303,Morocco,1753456487490,Africa,0,37772756,30,3,2317,33860,344191
233731,1371127,2676,2250,Mozambique,1753456487546,Africa,228805,33089461,142,24,14706,7064,41437
641873,11711514,2219,19495,Myanmar,1753456487518,Asia,620159,55227143,86,5,2833,11622,212061
4772813,0,0,74,N. Korea,1753456487454,Asia,4772739,25990679,5,0,351225,183636,0
172389,1062663,1184,4106,Namibia,1753456487554,Africa,167099,2633874,15,2,641,65451,403460
5393,20509,45,1,Nauru,1753456487655,Australia-Oceania,5347,10903,2,1,10903,494635,1881042
1003450,6047766,97,12031,Nepal,1753456487503,Asia,991322,30225582,30,5,2512,33199,200088
8635786,25984435,195,22992,Netherlands,1753456487435,Europe,8612599,17211447,2,1,749,501747,1509718
80064,98964,79750,314,New Caledonia,1753456487573,Australia-Oceania,0,290915,4,3,926,275214,340182
2621111,7768604,1623,5697,New Zealand,1753456487470,Australia-Oceania,2613791,4898203,2,1,860,535117,1586011
18491,0,14041,225,Nicaragua,1753456487621,North America,4225,6779100,367,0,30129,2728,0
9931,254538,729,312,Niger,1753456487639,Africa,8890,26083660,2626,102,83601,381,9759
267188,5708974,4080,3155,Nigeria,1753456487542,Africa,259953,216746934,811,38,68700,1233,26339
1059,0,3,0,Niue,1753456487664,Australia-Oceania,1056,1622,2,0,0,652898,0
1509732,11002430,0,6638,Norway,1753456487482,Europe,1503094,5511370,4,1,830,273930,1996315
399449,25000000,394821,4628,Oman,1753456487532,Asia,0,5323993,13,0,1150,75028,4695724
1581936,30589153,12583,30664,Pakistan,1753456487480,Asia,1538689,229488994,145,8,7484,6893,133292
6290,71434,4,10,Palau,1753456487653,Australia-Oceania,6276,18233,3,0,1823,344979,3917841
621008,3078533,159,5404,Palestine,1753456487521,Asia,615445,5345541,9,2,989,116173,575907
1059893,7882622,64,8727,Panama,1753456487499,North America,1051102,4446964,4,1,510,238341,1772585
46864,249149,26,670,Papua New Guinea,1753456487592,Australia-Oceania,46168,9292169,198,37,13869,5043,26813
837602,2657506,817447,20155,Paraguay,1753456487510,South America,0,7305843,9,3,362,114648,363751
4572667,39010194,0,222161,Peru,1753456487457,South America,4350506,33684208,7,1,152,135751,1158115
4140383,36102746,6138,66864,Philippines,1753456487462,Asia,4067381,112508994,27,3,1683,36800,320888
6661991,39323709,6541393,120598,Poland,1753456487440,Europe,0,37739785,6,1,313,176524,1041970
5643062,46139518,127,28126,Portugal,1753456487444,Europe,5614809,10140570,2,0,361,556484,4549993
514524,4065369,147,690,Qatar,1753456487526,Asia,513687,2979915,6,1,4319,172664,1364257
3529735,28758667,657,68929,Romania,1753456487464,Europe,3460149,19031335,5,1,276,185470,1511122
24124215,273400000,175641,402756,Russia,1753456487426,Europe,23545818,145805947,6,1,362,165454,1875095
133518,6021981,11,1468,Rwanda,1753456487560,Africa,132039,13600464,102,2,9265,9817,442778
494595,1603660,493674,921,Réunion,1753456487529,Africa,0,908061,2,1,986,544672,1766027
34571873,15804065,0,35934,S. Korea,1753456487421,Asia,34535939,51329899,1,3,1428,673523,307892
2166,0,2164,0,Saint Helena,1753456487661,Africa,2,6115,3,0,0,354211,0
6607,126958,0,48,Saint Kitts and Nevis,1753456487652,North America,6559,53871,8,0,1122,122645,2356704
30215,210983,0,410,Saint Lucia,1753456487606,North America,29805,185113,6,1,451,163225,1139752
12324,112382,12261,63,Saint Martin,1753456487633,North America,0,39730,3,0,631,310194,2828643
3452,25400,1001,2,Saint Pierre Miquelon,1753456487659,North America,2449,5759,2,0,2880,599410,4410488
9674,114197,57,124,Saint Vincent and the Grenadines,1753456487640,North America,9493,111551,12,1,900,86723,1023720
17006,187397,15370,31,Samoa,1753456487625,Australia-Oceania,1605,202239,12,1,6524,84089,926612
26185,196855,46,128,San Marino,1753456487611,Europe,26011,34085,1,0,266,768226,5775414
6778,29600,13,80,Sao Tome and Principe,1753456487650,Africa,6685,227679,34,8,2846,29770,130008
841469,45481735,831823,9646,Saudi Arabia,1753456487508,Asia,0,35844909,43,1,3716,23475,1268848
89053,1146543,58,1971,Senegal,1753456487570,Africa,87024,17653671,198,15,8957,5044,64946
2615054,13463733,389,18057,Serbia,1753456487471,Europe,2596608,8653016,3,1,479,302213,1555958
51220,0,0,172,Seychelles,1753456487587,Africa,51048,99426,2,0,578,515157,0
7779,259958,7653,126,Sierra Leone,1753456487645,Africa,0,8306436,1068,32,65924,937,31296
3006155,24756666,0,2024,Singapore,1753456487466,Asia,3004131,5943546,2,0,2937,505785,4165302
11051,62056,54,92,Sint Maarten,1753456487637,North America,10905,43966,4,1,478,251353,1411454
1877605,7448789,0,21224,Slovakia,1753456487476,Europe,1856381,5460193,3,1,257,343872,1364199
1356546,2847701,22,7100,Slovenia,1753456487485,Europe,1349424,2078034,2,1,293,652803,1370382
25954,0,25755,199,Solomon Islands,1753456487613,Australia-Oceania,0,721159,28,0,3624,35989,0
27334,400466,12791,1361,Somalia,1753456487609,Africa,13182,16841795,616,42,12375,1623,23778
4076463,26795090,61362,102595,South Africa,1753456487463,Africa,3912506,60756135,15,2,592,67095,441027
18819,410280,557,147,South Sudan,1753456487620,Africa,18115,11618511,617,28,79037,1620,35313
13914811,471036328,30634,121760,Spain,1753456487428,Europe,13762417,46719142,3,0,384,297840,10082298
672754,6486117,5,16897,Sri Lanka,1753456487515,Asia,655852,21575842,32,3,1277,31181,300619
5507,78646,5501,6,St. Barth,1753456487654,North America,0,9945,2,0,1658,553746,7908095
63993,562941,0,5046,Sudan,1753456487582,Africa,58947,45992020,719,82,9115,1391,12240
82588,242207,81180,1408,Suriname,1753456487572,South America,0,596831,7,2,424,138378,405822
75191,1048704,648,1427,Swaziland,1753456487575,Africa,73116,1184817,16,1,830,63462,885119
2754129,19500873,230,27407,Sweden,1753456487468,Europe,2726492,10218971,4,1,373,269511,1908301
4453053,23833472,292,14452,Switzerland,1753456487460,Europe,4438309,8773637,2,0,607,507549,2716487
57743,146269,0,3165,Syrian Arab Republic,1753456487585,Asia,54578,19364809,335,132,6118,2982,7553
10241523,30742304,0,19005,Taiwan,1753456487432,Asia,10222518,23888595,2,1,1257,428720,1286903
17786,0,397,125,Tajikistan,1753456487622,Asia,17264,9957464,560,0,79660,1786,0
43223,0,42377,846,Tanzania,1753456487595,Africa,0,63298550,1464,0,74821,683,0
4770149,17273454,42927,34586,Thailand,1753456487455,Asia,4692636,70078203,15,4,2026,68069,246488
23460,278529,220,138,Timor-Leste,1753456487614,Asia,23102,1369429,58,5,9923,17131,203391
39572,815204,1,290,Togo,1753456487598,Africa,39281,8680837,219,11,29934,4559,93908
80,0,80,0,Tokelau,1753456487666,Australia-Oceania,0,1378,17,0,0,58055,0
16950,535009,1299,13,Tonga,1753456487626,Australia-Oceania,15638,107749,6,0,8288,157310,4965327
191496,913289,28,4390,Trinidad and Tobago,1753456487552,North America,187078,1406585,7,2,320,136143,649295
1153361,5013383,1123938,29423,Tunisia,1753456487495,Africa,0,12046656,10,2,409,95741,416164
17232066,162743369,17129892,102174,Turkey,1753456487427,Asia,0,85561976,5,1,837,201399,1902052
6752,616788,3,40,Turks and Caicos Islands,1753456487651,North America,6709,39741,6,0,994,169900,15520193
2943,0,2942,1,Tuvalu,1753456487660,Australia-Oceania,0,12066,4,0,12066,243909,0
1067030,200732262,1064681,2349,UAE,1753456487498,Asia,0,10081785,9,0,4292,105837,19910389
24910387,522526476,0,232112,UK,1753456487424,Europe,24678275,68497907,3,0,295,363666,7628357
111820082,1186851502,786167,1219487,USA,1753456487414,North America,109814428,334805269,3,0,275,333985,3544901
172149,3012408,68086,3632,Uganda,1753456487556,Africa,100431,48432863,281,16,13335,3554,62198
5557995,32603805,0,112418,Ukraine,1753456487445,Europe,5445577,43192122,8,1,384,128681,754855
1041111,6114822,2503,7664,Uruguay,1753456487501,South America,1030944,3496016,3,1,456,297799,1749083
253662,1377915,10539,1637,Uzbekistan,1753456487544,Asia,241486,34382084,136,25,21003,7378,40077
12019,24976,29,14,Vanuatu,1753456487634,Australia-Oceania,11976,321832,27,13,22988,37346,77606
552695,3359014,302,5856,Venezuela,1753456487522,South America,546537,29266991,53,9,4998,18885,114771
11625195,85826548,941018,43206,Vietnam,1753456487430,Asia,10640971,98953541,9,1,2290,117481,867342
3550,20508,3104,8,Wallis and Futuna,1753456487658,Australia-Oceania,438,10982,3,1,1373,323256,1867419
10,0,0,1,Western Sahara,1753456487669,Africa,9,626161,62616,0,626161,16,0
11945,329592,662,2159,Yemen,1753456487636,Asia,9124,31154867,2608,95,14430,383,10579
349304,4112961,3919,4069,Zambia,1753456487535,Africa,341316,19470234,56,5,4785,17940,211244
266359,2525756,1731,5740,Zimbabwe,1753456487543,Africa,258888,15331428,58,6,2671,17373,164744
